Iteracion,Weights
1,"[1.0, -0.8936, 0.1303]"
2,"[1.0, -0.7382, -0.6777]"
3,"[1.0, 0.3019, -0.984]"
4,"[1.0, -0.0909, -0.6078]"
5,"[1.0, -0.1562, -0.7785]"
6,"[1.0, 0.3619, -0.5474]"
7,"[1.0, 0.1957, -0.5972]"
8,"[1.0, -0.7805, 0.1522]"
9,"[1.0, 0.8418, 0.6856]"
10,"[1.0, -0.304, -0.0436]"
11,"[1.0, 0.5158, 0.0329]"
12,"[1.0, -0.3668, 0.4748]"
13,"[1.0, -0.9354, 0.9996]"
14,"[1.0, 0.996, 0.0317]"
15,"[1.0, -0.1311, -0.694]"
16,"[1.0, -0.528, 0.0406]"
17,"[1.0, -0.4077, 0.9037]"
18,"[1.0, -0.8886, 0.1196]"
19,"[1.0, 0.7196, 0.8772]"
20,"[1.0, 0.5098, 0.2506]"
21,"[1.0, -0.5124, -0.0888]"
22,"[1.0, 0.8879, -0.1278]"
23,"[1.0, 0.1717, -0.7052]"
24,"[1.0, -0.98, 0.612]"
25,"[1.0, 0.9504, -0.2184]"
26,"[1.0, -0.4722, 0.5772]"
27,"[1.0, -0.775, -0.4544]"
28,"[1.0, -0.4441, 0.5387]"
29,"[1.0, 0.7331, 0.9385]"
30,"[1.0, 0.4239, -0.8392]"
31,"[1.0, 0.9957, 0.7426]"
32,"[1.0, 0.7279, -0.2906]"
33,"[1.0, -0.3641, 0.6953]"
34,"[1.0, -0.9248, 0.8411]"
35,"[1.0, 0.957, 0.2948]"
36,"[1.0, -0.0013, -0.0724]"
37,"[1.0, -0.4527, -0.6148]"
38,"[1.0, 0.5029, -0.8671]"
39,"[1.0, 0.9355, -0.0268]"
40,"[1.0, 0.2161, -0.1519]"
41,"[1.0, 0.2269, -0.6445]"
42,"[1.0, -0.7745, 0.0978]"
43,"[1.0, 0.7899, -0.7061]"
44,"[1.0, -0.9303, 0.217]"
45,"[1.0, 0.9272, -0.2154]"
46,"[1.0, 0.1379, 0.4732]"
47,"[1.0, 0.2504, -0.2603]"
48,"[1.0, 0.2922, 0.6415]"
49,"[1.0, -0.2433, -0.1601]"
50,"[1.0, -0.8141, 0.0072]"
51,"[1.0, 0.3075, 0.8244]"
52,"[1.0, -0.6578, 0.1737]"
53,"[1.0, -0.9932, 0.8524]"
54,"[1.0, 0.7288, 0.8376]"
55,"[1.0, -0.4882, -0.851]"
56,"[1.0, 0.3235, -0.6465]"
57,"[1.0, -0.8567, -0.4307]"
58,"[1.0, -0.61, -0.0404]"
59,"[1.0, -0.2824, -0.2201]"
60,"[1.0, -0.9586, -0.7366]"
61,"[1.0, 0.4877, 0.3828]"
62,"[1.0, -0.8652, -0.3957]"
63,"[1.0, -0.6755, 0.9957]"
64,"[1.0, -0.2147, 0.2632]"
65,"[1.0, -0.5523, -0.9294]"
66,"[1.0, -0.0743, -0.3546]"
67,"[1.0, -0.6585, 0.5328]"
68,"[1.0, 0.7391, 0.1305]"
69,"[1.0, -0.4728, -0.3763]"
70,"[1.0, 0.5095, -0.5407]"
71,"[1.0, -0.9422, 0.3859]"
72,"[1.0, -0.1463, 0.1586]"
73,"[1.0, 0.7268, 0.6993]"
74,"[1.0, -0.2645, -0.5559]"
75,"[1.0, -0.9884, 0.3147]"
76,"[1.0, 0.5186, 0.2818]"
77,"[1.0, -0.5119, 0.9765]"
78,"[1.0, 0.2874, 0.6382]"
79,"[1.0, -0.1111, 0.0344]"
80,"[1.0, 0.4212, -0.9977]"
81,"[1.0, 0.9642, -0.9503]"
